,id,organization_id,url,age,gender,size,coat,tags,name,organization_animal_id,status,status_changed_at,published_at,delta_time,primary_breed,secondary_breed,is_mixed,is_unknown,compatible_children,compatible_dogs,compatible_cats,spayed_neutered,house_trained,special_needs,shots_current,primary_color,secondary_color,tertiary_color
3803,59273993,VT85,https://www.petfinder.com/dog/elvis-59273993/vt/williston/vermont-english-bulldog-rescue-vt85/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Medium,Medium,"['Friendly', 'Affectionate', 'Playful', 'Funny', 'Curious']",Elvis,,adopted,2023-03-13 04:43:25+00:00,2022-12-28 01:40:57+00:00,75 days 03:02:28,Labrador Retriever,,True,False,True,True,True,False,False,False,True,Black,,
3804,59273992,AL387,https://www.petfinder.com/dog/lexi-59273992/al/grand-bay/wags-and-whiskers-al387/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Medium,Medium,['Independent'],Lexi,,adopted,2023-01-26 19:30:40+00:00,2022-12-28 01:40:45+00:00,29 days 17:49:55,Flat-Coated Retriever,German Shepherd Dog,True,False,True,True,True,True,False,False,True,Black,White / Cream,
3805,59273991,AL387,https://www.petfinder.com/dog/loui-59273991/al/grand-bay/wags-and-whiskers-al387/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Medium,Medium,['Independent'],Loui,,adopted,2023-01-06 14:19:01+00:00,2022-12-28 01:40:13+00:00,9 days 12:38:48,Flat-Coated Retriever,German Shepherd Dog,True,False,True,True,True,True,False,False,True,Black,White / Cream,
3806,59273985,AL387,https://www.petfinder.com/dog/larri-59273985/al/grand-bay/wags-and-whiskers-al387/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Medium,Medium,['Independent'],Larri,,adopted,2023-01-06 14:19:01+00:00,2022-12-28 01:39:45+00:00,9 days 12:39:16,Flat-Coated Retriever,German Shepherd Dog,True,False,True,True,True,True,False,False,True,Black,White / Cream,
3807,59273980,AL387,https://www.petfinder.com/dog/lenni-59273980/al/grand-bay/wags-and-whiskers-al387/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Female,Medium,Medium,['Independent'],Lenni,,adopted,2023-02-13 20:37:19+00:00,2022-12-28 01:39:16+00:00,47 days 18:58:03,Flat-Coated Retriever,German Shepherd Dog,True,False,True,True,True,True,False,False,True,Black,White / Cream,
3808,59273964,AL387,https://www.petfinder.com/dog/lonni-59273964/al/grand-bay/wags-and-whiskers-al387/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Medium,Medium,['Independent'],Lonni,,adopted,2023-01-12 22:11:45+00:00,2022-12-28 01:38:38+00:00,15 days 20:33:07,Flat-Coated Retriever,German Shepherd Dog,True,False,True,True,True,True,False,False,True,Black,White / Cream,
3809,59273955,VT85,https://www.petfinder.com/dog/bowie-59273955/vt/williston/vermont-english-bulldog-rescue-vt85/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Medium,Short,"['Friendly', 'Affectionate', 'Playful', 'Funny']",Bowie,,adopted,2023-03-13 04:43:31+00:00,2022-12-28 01:36:28+00:00,75 days 03:07:03,Labrador Retriever,,True,False,True,True,True,True,False,False,True,Brown / Chocolate,,
3810,59273940,OH743,https://www.petfinder.com/dog/joe-59273940/oh/liberty-center/heritage-farms-rescue-oh743/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Large,Wire,"['Friendly', 'Affectionate', 'Loyal', 'Gentle', 'Playful', 'Smart', 'Curious', 'Funny', 'Athletic', 'Loves kisses']",Joe,,adopted,2022-12-30 21:35:29+00:00,2022-12-28 01:35:16+00:00,2 days 20:00:13,German Wirehaired Pointer,,False,False,True,True,True,True,False,False,True,Brown / Chocolate,White / Cream,
3811,59273928,TX1779,https://www.petfinder.com/dog/clemens-the-lab-fox-terrier-pup-59273928/wi/muskego/texas-rescue-riders-inc-tx1779/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Medium,Short,[],Clemens the Lab/Fox Terrier Pup,,adopted,2023-04-12 00:08:44+00:00,2022-12-28 01:33:42+00:00,104 days 22:35:02,Labrador Retriever,Fox Terrier,True,False,True,True,True,False,True,False,True,Brown / Chocolate,White / Cream,
3812,59273907,IN586,https://www.petfinder.com/dog/monte-59273907/in/mooresville/hope-haven-canine-rescue-inc-in586/?referrer_id=b119d1f7-1a08-441e-b63e-912dd36808fe&utm_source=api&utm_medium=partnership&utm_content=b119d1f7-1a08-441e-b63e-912dd36808fe,Baby,Male,Medium,,[],Monte,,adopted,2023-01-02 22:07:17+00:00,2022-12-28 01:30:16+00:00,5 days 20:37:01,Aussiedoodle,Australian Cattle Dog / Blue Heeler,True,False,True,True,True,True,False,False,True,,,
